"Farm product prices, crops and livestock 1"
"Frequency: Monthly"
"Table: 32-10-0077-01 (formerly CANSIM 002-0043)"
"Release date: 2025-08-12"
"Geography: Province or territory"
""
""

"Geography","Farm products 2","June 2019","July 2019","August 2019","September 2019","October 2019","November 2019","December 2019","January 2020","February 2020","March 2020","April 2020","May 2020","June 2020","July 2020","August 2020","September 2020","October 2020","November 2020","December 2020","January 2021","February 2021","March 2021","April 2021","May 2021","June 2021","July 2021","August 2021","September 2021","October 2021","November 2021","December 2021","January 2022","February 2022","March 2022","April 2022","May 2022","June 2022","July 2022","August 2022","September 2022","October 2022","November 2022","December 2022","January 2023","February 2023","March 2023","April 2023","May 2023","June 2023","July 2023","August 2023","September 2023","October 2023","November 2023","December 2023","January 2024","February 2024","March 2024","April 2024","May 2024","June 2024","July 2024","August 2024","September 2024","October 2024","November 2024","December 2024","January 2025","February 2025","March 2025","April 2025","May 2025","June 2025"
"Quebec",,"Dollars per metric tonne",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Wheat (except durum wheat) 3","286.58","282.93","268.56","267.63","259.27","255.87","258.97","264.13","261.33","267.63","272.45","279.48","268.46","264.42","267.11","268.79","267.52","291.69","305.48","302.03","317.08","329.11","337.25","352.30","350.38","337.19","339.63","340.27","339.53","358.93","392.93","394.18","408.38","434.82","490.39","520.81","500.78","411.63","378.45","378.20","410.38","413.61","420.23","411.24","417.02","409.13","371.14","378.20","370.92","366.89","344.43","344.07","308.08","324.38","317.49","308.71","310.29","318.36","329.80","319.16","346.88","284.34","291.38","295.73","296.40","286.15","299.62","302.22","309.49","313.96","301.84","299.68","307.41"
,"Oats","247.71","253.62","232.50","225.20","224.06","225.89","228.35","229.64","238.31","241.58","237.80","241.00","236.53","233.44","222.00","220.00","223.00","229.00","241.00","247.00","259.00","255.00","269.00","267.00","294.00","284.00","305.00","305.00","348.00","393.00","395.00","515.00","524.00","549.00","573.00","544.00","600.00","487.00","365.00","365.00","368.00","327.00","315.00","342.00","322.00","313.00","293.00","283.00","265.00","249.00","282.00","282.00","274.00","291.00","320.00","313.00","295.00","282.00","303.00","262.00","276.00","259.00","247.00","247.00","280.00","260.00","250.00","267.00","270.00","248.00","255.00","264.00","286.00"
,"Barley 4 5","240.40","243.05","239.70","227.32","226.14","231.12","233.13","240.16","241.85","243.07","235.30","235.63","231.93","231.56","223.78","222.88","217.87","228.41","244.64","246.30","265.41","270.49","277.69","297.22","301.61","292.71","288.00","288.00","277.00","320.00","325.00","324.00","337.00","346.00","358.00","353.00","360.00","329.00","313.00","313.00","327.00","329.00","325.00","358.00","366.00","365.00","363.00","328.00","243.00","250.00","250.00","250.00","266.00","308.00","297.00","303.00","298.00","316.00","313.00","284.00","314.00","275.00","223.00","223.00","221.00","226.00","230.00","219.00","244.00","240.00","219.00","203.00","222.00"
,"Soybeans","451.80","458.90","455.00","461.90","461.90","462.00","461.00","468.70","473.50","479.00","481.50","480.00","469.40","468.00","469.60","492.00","492.00","518.60","538.50","578.70","593.40","624.50","601.30","644.50","654.10","611.90","613.50","563.50","563.50","591.80","611.10","634.40","693.30","739.90","757.00","772.10","781.60","759.00","705.70","661.30","661.30","711.00","751.30","779.40","791.20","786.80","789.50","774.50","752.50","731.10","710.60","682.50","682.50","694.40","694.00","659.00","633.20","625.00","617.90","625.90","624.10","608.30","557.40","563.30","563.30","542.90","553.70","553.40","575.30","563.10","573.10","550.30","555.30"
,"Corn for grain","228.00","244.00","249.00","239.00","218.00","218.00","225.00","231.00","236.00","232.00","231.00","223.00","220.00","218.00","216.00","214.00","221.00","221.00","237.00","249.00","269.00","274.00","284.00","286.00","296.00","323.00","341.00","345.00","279.00","279.00","290.00","306.00","318.00","336.00","364.00","371.00","361.00","366.00","344.00","342.00","332.00","332.00","343.00","356.00","359.00","348.00","346.00","324.00","305.00","298.00","301.00","310.00","276.00","276.00","280.00","278.00","249.00","244.00","246.00","245.00","248.00","240.00","234.00","232.00","229.00","229.00","240.00","252.00","259.00","264.00","265.00","265.00","272.00"
,"Canola (including rapeseed)","453.15","440.65","446.22","422.49","434.54","436.65","454.96","473.59","466.82","464.41","449.23","448.20","455.08","466.16","465.15","488.14","496.33","496.03","496.23","523.01","558.35","704.00","741.44","653.20","564.95","564.95","699.99","715.00","715.00","723.00","811.00","617.00","1,006.00","1,024.00","820.33","829.77","747.99","729.90","729.00","796.00","796.00","859.00","834.00","970.00","810.00","774.00","755.00","727.55","810.00","801.00","725.00","775.00","775.00","739.00","684.00","721.00","645.00","647.00","627.00","658.00","590.00","663.40","657.00","601.00","601.00","610.00","609.00","678.00","640.00","630.00","640.00","647.00","670.00"
,,"Dollars per kilogram",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Chickens for meat 6 7","2.03","2.01","2.08","2.09","2.21","2.20","2.22","2.18","2.18","2.14","2.21","2.20","2.18","2.17","2.20","2.16","2.17","2.17","2.23","2.30","2.35","2.36","2.49","2.52","2.50","2.52","2.52","2.52","2.50","2.47","2.48","2.46","2.48","2.52","2.56","2.68","2.71","2.82","2.83","2.84","2.87","2.84","2.88","2.89","2.87","2.84","2.86","2.89","2.85","2.85","2.74","2.75","2.75","2.72","2.72","2.77","2.83","2.78","2.78","2.71","2.68","2.72","2.72","2.74","2.74","2.72","2.75","2.70","2.74","2.74","2.79","2.79","2.76"
,,"Dollars per dozen",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
